"No.","Time","Source","Destination","Protocol","Length","Multiplex ID","NT Status","Info""1","1e-06","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","2e-06","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","3e-06","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","4e-06","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","5e-06","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","6e-06","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","7e-06","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","8e-06","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","9e-06","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","1e-05","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"1","1.1e-05","192.168.198.204","192.168.198.203","TCP","66","","","51112  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.00027600000000000004","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.000277","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.00027800000000000004","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.000279","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.00028000000000000003","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.000281","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.000282","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.000283","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.000284","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.00028500000000000004","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"2","0.000286","VMware_68:24:5a","Broadcast","ARP","60","","","Who has 192.168.198.204? Tell 192.168.198.203"
"3","0.000418","VMware_a3:01:b7","VMware_68:24:5a","ARP","60","","","192.168.198.204 is at 00:0c:29:a3:01:b7"
